,title,price,address,township,car_boxes,rooms,bathroms,squareM,description
11,"departamento en renta bosques de las lomas ""citadel """,70000.0,"bosques de las lomas, cuajimalpa de morelos",cuajimalpa,4.0,3.0,3.0,370.0, excelente departamento cuenta con 370 m2 3 recamaras 3 5 baños cuarto de servicio 2 bodegas 4 cajones de estacionamiento seguridad 24 hrs spa gym salon de fiestas amplios jardines easybroker id eb bo2247 
12,"renta de departamento en abdias garcia soto, cuajimalpa de morelos id: 54888",10000.0,"zotitla abdias garcia soto, cuajimalpa de morelos",cuajimalpa,1.0,1.0,1.0,60.0, arr id hm 54888 comodo departamento con amplio roof garden en renta con una superficie total de 66 m2 ubicado en la colonia abadias garcia soto alcaldia cuajimalpa a tan solo 2 min de la carretera mexico toluca y 10 min de santa fe ideal para una pareja que quiera disfrutar de seguridad y agradables amenidades como gimnasio areas comunes ascensor 1 estacionamiento techado comienza una nueva etapa con houm facil rapido y seguro arr id hm 54888 
13,plaza carso: amueblado de 2 recamaras con family room,48000.0,"polanco, miguel hidalgo",miguel hidalgo,2.0,2.0,3.0,118.0, departamento de 118 m2 amueblado y equipado 2 recamaras cada una con baño completo y vestidor family room con baño completo linda cocina abierta area de lavado estancias muy amplias grandes ventanas que le dan mucha luminosidad 2 cajones de estacionamiento completo conjunto de amenidades estacionamiento para visitas vigilancia 24 horas conexion directa con la plaza torre muy tranquila y muy bien ubicada mantenimiento incluido en la renta solo se renta para periodos de larga estancia 
14,renta departamento polanco amueblado polarea viena,25000.0,"presa las lajas 345 granada, miguel hidalgo",miguel hidalgo,2.0,2.0,2.0,78.0, acogedor amueblado con buen gusto y equipado moderno y bien orientado dos amplias recamaras la principal con vestidor y baño la segunda espaciosa con buen closet la cocina es socia y hermosa equipada con refrigerador y enseres la estancia suficiente para acomodar area de tv y comedor polarea torre viena tiene todas la amenidades que te ofreceria un club pero solo a unos pisos de distancia alberca al aire libre para recibir esa vitamina d que nos brinda el sol gimnasio ludoteca business center salon de eventos para 100 personas bonito ambiente internacional y a unos pasos de antara y de carso la renta incluye el mantenimiento 
15,renta hermoso departamento amueblado en reforma,33000.0,"cuauhtemoc, cuauhtemoc",cuauhtemoc,2.0,2.0,3.0,167.0, renta de increible departamento muy espacioso e iluminado ubicado en una de las mejores zonas de la cd de mexico a solo 2 cuadras del angel de la independencia cerca de supermercados escuelas y centros comerciales cuenta con 2 recamaras la recamara principal cuenta con baño y vestidor asi como balcon con una hermosa vista a la ciudad otro baño para la segunda recamara sala comedor muy amplios e iluminados otro balcon en el comedor cocina con espacio para desayunador area de lavado y cuarto de servicio con baño completo renta amueblado 33 000 renta sin amueblar 30 000 incluido mantenimiento easybroker id eb iy2125 
16,departamento en renta bosque de las lomas,60000.0,"bosques de las lomas, cuajimalpa de morelos",cuajimalpa,3.0,3.0,3.0,300.0, lindo depa con una estuoenda distribucio ya que los espacios son amplios y agradables con vista bosques de las lomas tiene elevador directo al depa la cocina las recamaras son completas tiene sala de tv easybroker id eb gi8180 
17,"renta de departamento en lomas de chapultepec, miguel hidalgo id: 54491",15000.0,"sierra cotopaxi lomas de chapultepec, miguel hidalgo",miguel hidalgo,1.0,1.0,1.0,67.0, arr id hm 54491 comodo departamento en renta con una superficie total de 67 m2 ubicado en la colonia lomas de chapultepec 1a seccion alcaldia miguel hidalgo con una gran excelente ubicacion entre avenida de las palmas y paseo de la reforma a tan solo 5 minutos de la tercera seccion del bosque de chapultepec ideal para una persona o una pareja que trabaje busque disfrutar de la zona y de los espacios del departamento 1 recamara cocina equipada baño completo closet 1 lugar de estacionamiento comienza una nueva etapa con houm facil rapido y seguro arr id hm 54491 
19,"renta de departamento en nonoalco tlatelolco, cuauhtemoc id: 54095",8000.0,"eje guerrero nonoalco tlatelolco, cuauhtemoc",cuauhtemoc,0.0,2.0,1.0,89.0, arr id houm 54095 enterate de todos los beneficios al rentar con houm no te pedimos aval asistencia e intermediacion con el propietario firma tu contrato online renta sin burocracia papeleos y mucho mas rapido hermoso departamento casa en renta ubicado en la alcaldia cuauhtemoc en tlatelolco departamento con 2 recamaras estancia principal cocina area de lavado 1 baño ubicado en el corazon de tlatelolco con acceso facil a importantes vias de comunicacion como av insurgentes norte eje guerrero cuenta con una superficie total de 89 m2 principales caracteristicas del inmueble 2 recamaras con closet 1 baño completo elevador octavo piso area de cocina estancia principal area de lavado y de tendido documentos para poder rentar con nosotros ine o pasaporte 3 ultimos comprobantes de ingresos y o recibos de nomina buro de credito 6 referencias 3 familiares y 3 no familiares en caso de ser extranjero tambien se necesita visa de residencia temporal o de visitante con permiso para realizar actividades remuneradas si vienes a trabajar en una empresa mexicana se necesita una carta laboral importante se deben demostrar ingresos de 3 veces el valor de la renta en caso de que tus ingresos no lleguen a 3 veces el valor de la renta estos pueden ser la suma de las personas que viviran en la propiedad te invitamos a agendar una visita a esta propiedad esta puede ser presencial o via streaming desde la comodidad de tu hogar comienza una nueva etapa con houm facil rapido contigo 
20,departamento we en venta santa fe,25000.0,"el yaqui, cuajimalpa de morelos",cuajimalpa,3.0,2.0,2.0,106.0, residencial we departamentos nuevos opcion de tamaños toda una experiencia piso 18 precio de venta 4 800 000 metros 91 38 piso 19 precio de venta 4 900 000 renta 23 000 metros 91 38 mtto 5 026 2 recamaras 2 baños 2 estacionamientos piso 23 precio de venta 5 500 000 metros 99 56 habitables 7 44 m de terraza totales 106 mts piso 24 precio de venta 5 600 000 renta 25000 metros 99 56 habitables 7 44 m de terraza totales 106 mts mtto 5 830 2 recamaras mas estudio 2 baños 3 estacionamientos vista extraordinaria pisos de madera de ingenieria closet vestidor de madera baños de marmol cocina abierta barra de granito el mantenimiento incluye luz y agua hasta que se individualice al ser individual este bajara acceso inmediato a santa fe bosques vista hermosa amenidades sky lounge terraza cafeteria gym alberca salon de yoga jardin juice bar ludoteca salon de eventos spa vapor salon de belleza business center easybroker id eb hw9077 
21,"departamento en renta, en jardines en la montaña, tlalpan",25500.0,"jardines en la montaña, tlalpan",tlalpan,2.0,3.0,2.0,160.0, departamento en renta en jardines en la montaña tlalpan 160m2 de construccion sala comedor con vista al jardin comun cocina integral 3 recamaras la principal con baño area de lavado 2 baños 2 estacionamientos jardin comun salon de usos multiples vigilancia gas estacionario la renta incluye la del condominio y la cuota de colonos 
