,_id,title,price,address,car_boxes,rooms,bathroms,squareM,levels,date_post,description,url
10,62147e4f4def088bf76fa79a,Lindo departamento 60 m2 en 3er piso,"$ 8,500 ","México, Tlalpan, Tapanco 31 Tlalpan",1,2,1,60,3,,"['\n                ', 'Departamento de 60 m2 en 3er piso nuevo, cuenta 2 recámaras con closet s (la 2a recamara es pequeña, ideal vestidor o estudio), sala-comedor cocina integral con área de lavado y un baño completo, jardín común(el que se muestra en la foto?, se encuentra dentro de fraccionamiento, no cuenta con elevador, vigilancia 24 horas con control de acceso, estacionamiento común, jardines,excelente ubicación, frente al telmex de acoxpa, en coapa,escuelas,centro comerciales, previa cita', '\n            ']",https://www.lamudi.com.mx/lindo-departamento-60-m2-en-3er-piso.html
11,62147e4f4def088bf76fa79b,"DEPARTAMENTO EN RENTA BOSQUES DE LAS LOMAS ""CITADEL ""","$ 70,000 ","Bosques de las Lomas, Cuajimalpa de Morelos",4,3,3,370,1,,"['\n                ', 'Excelente departamento,', '\n', 'CUENTA CON 370 M2 ', '\n', '•\t3 RECAMARAS 3.5 BAÑOS ', '\n', '•\tCUARTO DE SERVICIO', '\n', '•\t2 BODEGAS ', '\n', '•\t4 CAJONES DE ESTACIONAMIENTO ', '\n', '•\tSEGURIDAD 24 HRS ', '\n', '•\tSPA', '\n', '•\tGYM ', '\n', '•\tSALON DE FIESTAS', '\n', '•\tAMPLIOS JARDINES. EasyBroker ID: EB-BO2247', '\n            ']",https://www.lamudi.com.mx/departamento-en-renta-bosques-de-las-lomas-citadel.html
12,62147e4f4def088bf76fa79c,"Renta de departamento en Abdias Garcia Soto, Cuajimalpa de Morelos ID: 54888","$ 10,000 ","Zotitla Abdias Garcia Soto, Cuajimalpa de Morelos",1,1,1,60,,,"['\n                [ARR] ID HM: 54888.', '\n', '\nCómodo departamento con amplio Roof Garden en renta con una superficie total de 66 m2. Ubicado en la colonia Abadías Garcia Soto, alcaldía Cuajimalpa. A tan solo 2 min de la Carretera México Toluca y 10 min de Santa Fe, ideal para una pareja que quiera disfrutar de seguridad y agradables amenidades, como:', '\n', '\n-Gimnasio', '\n-Áreas comunes', '\n-Ascensor', '\n', '\n- 1 Estacionamiento techado', '\n', '\n¡Comienza una nueva etapa con Houm! Fácil, rápido y seguro.', '\n', '\n[ARR] ID HM: 54888.\n            ']",https://www.lamudi.com.mx/renta-de-departamento-en-abdias-garcia-soto-cuajimalpa-de-morelos-id-54888.html
13,62147e4f4def088bf76fa79d,PLAZA CARSO: AMUEBLADO DE 2 RECAMARAS CON FAMILY ROOM,"$ 48,000 ","Polanco, Miguel Hidalgo",2,2,3,118,15,,"['\n                ', ' Departamento de 118 m2 amueblado y equipado: 2 recamaras cada una con baño completo y vestidor. Family room con baño completo. Linda cocina abierta. Area de lavado. Estancias muy amplias. Grandes ventanas que le dan mucha luminosidad. 2 cajones de estacionamiento. Completo conjunto de amenidades. Estacionamiento para visitas. Vigilancia 24 horas. Conexion directa con la plaza. Torre muy tranquila y muy bien ubicada. Mantenimiento incluido en la renta. Solo se renta para periodos de larga estancia.', '\n            ']",https://www.lamudi.com.mx/plaza-carso-amueblado-de-2-recamaras-con-family-room-7.html
14,62147e4f4def088bf76fa79e,RENTA DEPARTAMENTO POLANCO AMUEBLADO POLAREA VIENA,"$ 25,000 ","PRESA LAS LAJAS 345 Granada, Miguel Hidalgo",2,2,2,78,22,17/01/22,"['\n                ', 'Acogedor amueblado \xa0con buen gusto y equipado. Moderno y bien orientado. Dos amplias recámaras . La principal con vestidor y baño. La segunda, espaciosa con buen clóset.\xa0', ' ', 'La cocina es socia y hermosa, equipada con refrigerador y enseres. \xa0La estancia, suficiente para acomodar área de TV y comedor.', ' ', 'Polárea Torre Viena tiene todas la amenidades que te ofrecería un club, pero sólo a unos pisos de distancia: Alberca al aire libre para recibir esa vitamina D que nos brinda el sol, gimnasio, ludoteca, business center, salón de eventos para 100 personas. Bonito ambiente internacional y a unos pasos de Antara y de Carso.', ' ', 'La renta incluye el mantenimiento.', '\n            ']",https://www.lamudi.com.mx/renta-departamento-polanco-amueblado-polarea-viena.html
15,62147e504def088bf76fa79f,Renta hermoso departamento amueblado en Reforma,"$ 33,000 ","Cuauhtémoc, Cuauhtémoc",2,2,3,167,1,,"['\n                ', 'Renta de increíble departamento, muy espacioso e iluminado, ubicado en una de las mejores zonas de la Cd. de México, a sólo 2 cuadras del Ángel de la Independencia, cerca de supermercados, escuelas y centros comerciales.', '\n', 'Cuenta con 2 recámaras, la  recámara principal cuenta con baño y vestidor así como balcón con una hermosa vista a la ciudad, otro baño para la segunda recámara, sala comedor muy amplios e iluminados, otro balcón en el comedor, cocina con espacio para desayunador, área de lavado, y cuarto de servicio con baño completo.', '\n', ' ', '\n', 'Renta amueblado $33,000', '\n', 'Renta sin amueblar $30,000', '\n', 'Incluido Mantenimiento. EasyBroker ID: EB-IY2125', '\n            ']",https://www.lamudi.com.mx/renta-hermoso-departamento-amueblado-en-reforma.html
16,62147e504def088bf76fa7a0,DEPARTAMENTO EN RENTA BOSQUE DE LAS LOMAS,"$ 60,000 ","Bosques de las Lomas, Cuajimalpa de Morelos",3,3,3,300,1,,"['\n                ', 'Lindo  depa con  una estuoenda distribucio ', '\n', ' ya que los espacios son  amplios y agradables, con  vista  Bosques de las  Lomas, tiene elevador  directo al depa, la cocina, las recamaras son completas, tiene sala de TV. EasyBroker ID: EB-GI8180', '\n            ']",https://www.lamudi.com.mx/departamento-en-renta-bosque-de-las-lomas-29.html
17,62147e504def088bf76fa7a1,"Renta de departamento en Lomas de Chapultepec, Miguel Hidalgo ID: 54491","$ 15,000 ","Sierra Cotopaxi Lomas de Chapultepec, Miguel Hidalgo",1,1,1,67,,,"['\n                [ARR] ID HM: 54491.', '\n', '\nCómodo departamento en renta con una superficie total de 67 m2, ubicado en la colonia Lomas de Chapultepec 1a sección, alcaldía Miguel Hidalgo, Con una gran excelente ubicación entre avenida de las Palmas y Paseo de la Reforma. A tan solo 5 minutos de la tercera sección del Bosque de Chapultepec. Ideal para una persona o una pareja que trabaje busque disfrutar de la zona y de los espacios del departamento:', '\n', '\n-1 recámara', '\n-Cocina equipada', '\n-Baño completo', '\n-Closet', '\n-1 lugar de estacionamiento', '\n', '\n¡Comienza una nueva etapa con Houm! Fácil, rápido y seguro.', '\n', '\n[ARR] ID HM: 54491.\n            ']",https://www.lamudi.com.mx/renta-de-departamento-en-lomas-de-chapultepec-miguel-hidalgo-id-54491.html
18,62147e504def088bf76fa7a2,Departamento en Venta y Renta con terraza en Rubén Darío,"$ 150,000 ","Polanco, Miguel Hidalgo",3,3,5,346,1,,"['\n                ', '*Condominio*', '\n', '- 61 departamentos', '\n', '-  Seguridad Policia Bancaria Industrial', '\n', '- Gimnasio con vista panorámica', '\n', '- Carril de nado y jacuzzi', '\n', '- Salón de fiestas', '\n', '- Ludoteca y muro para escalar', '\n', '- Jardines y muros verdes', '\n', '- Estacionamiento para invitados', '\n', '- Planta de luz de emergencia', '\n', '- Elevadores y accesos de servicio', '\n', '- Helipuerto', '\n', '\n', '*Departamento*', '\n', '- 6 piso vista a Campos Elíseos', '\n', '- Superficie Interior: 316 m31', '\n', '- Superficie en terrazas: 30.40m ', '\n', '-  3 cajones de estacionamiento  ', '\n', '- Comedor  ', '\n', '- Cubo de iluminación', '\n', '- Sala  ', '\n', '- Toilet', '\n', '-  Clóset de blancos', '\n', '-  Sala de TV/Estudio  ', '\n', '- Recámara 1 con vestidor y baño', '\n', '- Recámara 2 con vestidor y baño', '\n', '- Master Bedroom con vestidor y baño (lavabo', '\n', 'doble, wc, ducha y jacuzzi)', '\n', '-  Cocina con barra de preparación ', '\n', '- Cuarto de servicio con baño', '\n', '- Cuarto de lavado y planchado', '\n', '\n', '*Detalles y acabados*', '\n', '- Puerta de acceso blindada', '\n', ' - Pisos de mármol español y duela de madera ', '\n', ' - Muro de granito exótico en sala-comedor', '\n', '-  Cocina italiana terminada en granito exótico', '\n', '-  Carpinterías en nogal', '\n', '-  Muebles de baño europeos', '\n', '-  Cancelería de cristal templado en baños', '\n', '\n', ""Venta:  USD 2'100,000 dólares"", '\n', 'Renta: MXN 150,000 Pesos Mexicanos con mantenimiento incluído. EasyBroker ID: EB-JP6031', '\n            ']",https://www.lamudi.com.mx/departamento-en-venta-y-renta-con-terraza-en-ruben-dario-1.html
19,62147e504def088bf76fa7a3,"Renta de departamento en Nonoalco Tlatelolco, Cuauhtémoc ID: 54095","$ 8,000 ","Eje guerrero Nonoalco Tlatelolco, Cuauhtémoc",,2,1,89,,,"['\n                [ARR] ID HOUM: 54095', '\n', '\nEntérate de todos los beneficios al rentar con Houm:', '\n', '\n* No te pedimos aval.', '\n', '\n* Asistencia e intermediación con el propietario.', '\n', '\n* Firma tu contrato online.', '\n', '\n* Renta sin burocracia, papeleos y mucho más rápido. ', '\n', '\n', '\n Hermoso departamento casa en renta, ubicado en la alcaldía Cuauhtémoc en Tlatelolco. Departamento con 2 recámaras, estancia principal, cocina, área de lavado 1 baño. Ubicado en el corazón de Tlatelolco, con acceso fácil a importantes vías de comunicación como: Av Insurgentes Norte, Eje Guerrero. Cuenta con una superficie total de 89 m2.', '\n', '\nPrincipales características del inmueble: ', '\n2 Recámaras con clóset', '\n1 Baño completo', '\nElevador ', '\nOctavo Piso ', '\nÁrea de cocina ', '\nEstancia principal', '\nÁrea de lavado y de tendido', '\n', '\nDocumentos para poder rentar con nosotros:', '\n', '\n- INE o pasaporte.', '\n', '\n- 3 últimos comprobantes de ingresos y/o recibos de nómina.', '\n', '\n- Buró de crédito.', '\n', '\n- 6 referencias (3 familiares y 3 no familiares).', '\n', '\nEn caso de ser extranjero también se necesita:', '\n', '\nVisa de residencia temporal o de visitante con permiso para realizar actividades remuneradas. *Si vienes a trabajar en una empresa mexicana se necesita una carta laboral.', '\n', '\nIMPORTANTE:', '\n', '\n- Se deben demostrar ingresos de 3 veces el valor de la renta.', '\n', '\n- En caso de que tus ingresos no lleguen a 3 veces el valor de la renta, estos pueden ser la suma de las personas que vivirán en la propiedad.', '\n', '\n- Te invitamos a agendar una visita a esta propiedad: esta puede ser presencial o vía streaming, desde la comodidad de tu hogar.', '\n', '\n¡Comienza una nueva etapa con Houm! Fácil, rápido, contigo.\n            ']",https://www.lamudi.com.mx/renta-de-departamento-en-nonoalco-tlatelolco-cuauhtemoc-id-54095.html
